LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.491, Time: 6.249459 s
         1423215 function calls (1408898 primitive calls) in 7.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1771(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.011    0.011 ExifTags.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:20(Base)
        1    0.000    0.000    0.001    0.001 ExifTags.py:294(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:343(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:351(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.042    0.042 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:157(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:168(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:177(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:196(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:204(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:209(Quantize)
        1    0.000    0.000    0.000    0.000 Image.py:2844(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2853(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3392(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3407(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3418(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3429(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3441(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3452(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3561(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3597(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:453(_E)
        1    0.000    0.000    0.000    0.000 Image.py:496(Image)
        1    0.000    0.000    0.000    0.000 Image.py:85(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:89(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:328(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:358(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:590(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:601(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:673(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:722(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:85(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.004    0.004 ImagePalette.py:1(<module>)
